album_type;album_id;album_name;artist_id;artist_names;release_date;popularity
album;02hu5dIZ81jHzvPfMCZ1kb;רק איתך;02lzslgWuwHAt9319f49Tc;Aviva Avidan;1996-01-01;3
single;02kDkEJvp0wwibuWVkXy9f;Ltd;1yxLPqI8RMcczR0u8y9tBf;Kotenceto;2019-05-26;3
single;02mdQt5TqdAt1jQj1y2xVP;Oázis;4pzOgwjSIP2rm2uahqZfVN;PZM;2019-06-01;4
album;02xQznYpOVGQDwX0fMawub;На аванта I;0pZGZADU2S1Vnn7wozTXzX;Hoodini;2016-05-05;2
album;03573CtW3XzhORAAolZJAM;Canvas;2IQyD5b48N0rCr1AYFAkkk;Alfa Collective;2018-09-03;3
single;037fnF75Qq2clN46HEl7Vi;Fragmenti;46Tr2IHIzUsps5INJywQlO;Touns;2020-04-20;2
single;0389SwyupMEA8k76tTu2bd;laukiamasis;0sm4OVqxdooNElycVirRmr;fluvial;2020-09-18;3
compilation;039iN3ssYWCcD0vqNDMZO5;Eesti Jazz 70, Vol. 2;0LyfQWJT6nXafLPZqxe9Of;Various Artists;2013-06-07;2
album;03CY0GG8CMBIRgdrltN5RH;Rytmečiai;3viZcSwAxCwZs2jpJSKAfi;Kazimieras Jakutis;2020-09-25;3
single;03EQuoGHumt4WUvxSZbrVK;Giza;3ggwlu7iANZzS56XWr32Vn;Dj Szecsei;2018-02-15;4
album;03KVMYmQDM5CKElZwZ22ng;Kapu És Kert;0NpNVKy2PNaqlQ2fA95wHE;Dresch Quartet;2013-12-15;4
single;03ZgBBLrOfDdCxIVUVqNnB;Nobody to Love (Acoustic Version);3ripXsZkO0PM1egvFzt66P;Out Of Sound;2018-09-28;1
single;03asXwCSOZoJ5ZqmnVw5FD;Edin Sreshtu Drug;4Rk73iQDoHfnOteViniXY1;Mihaela Marinova;2017-12-29;3
single;03dj6sAhbVsx6TYsfiT5gr;מבוע;5muJpQsbEN7NzhHyFpbjnM;ביני לנדאו;2019-06-03;4
single;03kASK44f3bWNKsYmpLxD9;Kainah Draivah;1buKyiTYnJYsnT0v9aY8uD;Lõke;2019-12-18;3
single;03kbyM69OGY5NIaS3uvH3R;Āgenskalna Maukas;14JApLqjPYQfxXf6FlMfld;Grupa Jānis;2018-02-18;4
