album_type;album_id;album_name;artist_id;artist_names;release_date;popularity
single;52gkunQDuRBMCyZdOHgFvb;Mis Superpoderes;5bSfBBCxY8QAk4Pifveisz;La Arrolladora Banda El Limón De Rene Camacho;2020-12-04;40
album;0xFl9fSpy7RqZTac212Bt3;Welcome to Jet Life Recordings;6X8WdFjrNhXATMDSs26aCc;Curren$y;2020-12-04;42
single;5dcuwwrRJ3GNhxLdyUxD4D;Screaming At The Top Of Your Lungs;2q3GG88dVwuQPF4FmySr9I;The Score;2020-12-04;26
single;20uMSjx8g44aYx1dZHWIIn;What Child Is This;378dH6EszOLFShpRzAQkVM;Lindsey Stirling;2020-11-27;43
single;64jy8Nrdaqu76mIqBtWC10;Prayer Hands (feat. Grieves);3IstlZaHyUP9SONpulb4SM;Chris Webby;2020-11-25;49
album;6Plu24r8137BYGxTSPoTMB;ASOT 992 - A State Of Trance Episode 992 (Including A State Of Trance Classics - Mix 017: Solarstone);0SfsnGyD8FpIN4U4WCkBZ5;Armin van Buuren;2020-11-26;61
single;0fhPAKZGUPYLnK5gyoZB2G;Good Girls (Don’t Get Used);2vnB6tuQMaQpORiRdvXF9H;Beach Bunny;2020-11-30;46
single;6ruqxBlrH2BEZKZjgG3hSS;Desde Morro;5D7x9esAF6twPxuOqSMkeO;Justin Morales;2020-11-27;59
album;5toPxGLIsfkfeieQ7rfjeS;The Nutcracker (El Cascanueces);3MKCzCnpzw3TjUYs2v7vDA;Pyotr Ilyich Tchaikovsky;2020-12-07;36
single;7sQN6pVY3NokHmFcdNA094;Songs From The Bitter Truth;5nGIFgo0shDenQYSE0Sn7c;Evanescence;2020-12-04;46
album;6ySopAOx6fjU4a8s5gMEjt;Christmas with Tchaikovsky;3MKCzCnpzw3TjUYs2v7vDA;Pyotr Ilyich Tchaikovsky;2020-11-28;31
album;1wxUuZWxnniEvhqw8l2Lzr;Relaxed Holidays with Tchaikovsky;3MKCzCnpzw3TjUYs2v7vDA;Pyotr Ilyich Tchaikovsky;2020-12-05;30
single;3sYM1gESYQH5J8XdkWNRE8;Show Me Around;4sIl4BTo9l9KqEi0Y3RE72;Carly Pearce;2020-12-04;42
album;4l9k6qkzWV4pfgKpoI7wQx;Tchaikovsky: Symphony No. 5, Op. 64 & Serenade for Strings, Op. 48;3MKCzCnpzw3TjUYs2v7vDA;Pyotr Ilyich Tchaikovsky;2020-12-04;23
album;6x21W5JpojtaGaQZ4cG3ug;Tchaikovsky Two;3MKCzCnpzw3TjUYs2v7vDA;Pyotr Ilyich Tchaikovsky;2020-11-27;18
single;5L6JxWeHZUoS7xR30G0Rxz;Moon Love. A Collection of Tchaikovsky Themes;3MKCzCnpzw3TjUYs2v7vDA;Pyotr Ilyich Tchaikovsky;2020-12-04;0
single;58S7GjuFBS7tKz1YZ8ia0J;Solid Ground;6TQj5BFPooTa08A7pk8AQ1;Kaskade;2020-12-08;0
